211 7 28 78 30 45 66 92 7 99 86
5 8 63 52 18 71 27 55 65 2 96
181 63 62 85 69 60 51 85 59 64 85
47 72 49 69 1 7 92 48 65 37 14
79 35 28 86 71 99 28 15 0 68 21
160 73 1 91 48 76 60 17 14 95 22
35 40 39 5 28 79 2 79 50 49 52
93 51 85 41 14 75 55 39 5 86 67
31 48 35 93 74 93 23 15 87 61 44
244 94 23 2 50 30 55 22 87 87 4
59 33 11 82 99 88 59 13 5 92 58
70 35 2 56 39 44 5 3 43 61 2
32 8 82 57 95 26 98 19 1 12 89
69 19 55 96 87 69 84 73 53 42 23
149 63 6 76 2 0 97 12 98 2 1
1 93 17 22 45 81 70 56 36 81 33
189 53 4 32 18 64 61 39 71 6 7
142 53 58 15 42 3 12 50 44 3 60
45 20 59 13 5 31 41 90 78 13 14
53 40 60 59 49 42 40 61 70 0 33
69 91 49 79 3 80 32 0 52 3 42
178 59 59 49 81 23 72 32 82 1 25
116 33 89 29 94 89 47 63 10 63 99
161 98 30 19 2 82 71 59 67 39 4
254 98 49 18 81 55 68 84 64 68 82
161 29 62 80 29 87 62 14 68 80 67
254 56 48 11 97 59 99 74 23 89 66
118 28 69 56 84 71 74 3 61 85 69
92 87 88 30 13 54 59 9 55 39 1
38 61 98 53 11 68 1 47 98 17 78
168 87 95 1 42 57 60 68 54 30 8
43 1 31 80 79 52 43 35 79 93 31
91 96 86 67 35 23 23 12 53 81 61
196 53 19 94 88 56 72 27 21 6 23
70 61 28 52 25 92 10 96 97 27 24
242 71 79 18 60 59 3 29 72 12 95
165 20 28 12 87 93 65 91 83 9 22
195 6 86 19 36 71 69 59 3 69 21
200 48 19 55 14 17 27 8 38 57 11
67 96 95 24 64 2 47 64 42 9 61
158 28 90 25 68 1 6 33 1 84 31
244 4 53 82 43 92 50 27 10 82 82
51 8 41 94 99 63 89 24 32 50 30
150 7 2 62 81 16 9 63 10 35 41
85 64 99 81 89 56 70 91 42 17 31
172 85 83 56 76 96 26 28 40 14 10
31 17 57 21 52 7 69 82 55 69 27
65 39 6 54 13 14 56 27 10 52 81
185 44 29 98 6 20 61 84 34 80 25
213 79 92 69 58 13 7 9 68 62 48
123 6 65 53 1 68 3 94 66 94 57
106 75 93 10 82 57 93 74 94 36 88
186 20 82 24 47 4 94 2 87 54 90
148 35 59 15 71 70 3 10 36 39 6
148 82 19 71 23 7 52 88 84 67 56
153 24 27 39 21 23 11 54 38 76 43
116 0 71 44 4 16 36 76 38 66 4
226 55 14 90 10 57 85 12 10 2 55
131 26 86 74 31 77 2 31 66 9 48
92 69 18 17 92 97 44 4 1 6 2
146 68 16 27 29 95 34 9 15 84 99
141 87 99 6 55 92 88 46 75 78 27
242 51 52 51 22 88 32 94 56 74 31
114 34 73 91 21 8 30 23 55 71 8
119 12 13 36 49 79 74 41 10 22 42
30 57 68 43 8 83 26 38 40 42 56
58 32 17 5 94 49 79 31 58 4 63
33 84 31 13 54 63 25 59 74 35 81
86 60 4 26 70 97 41 39 44 24 45
184 0 57 32 13 57 95 36 41 48 42
133 3 94 23 72 66 12 85 78 97 0
246 45 53 16 11 84 48 2 47 25 39
162 52 83 18 88 19 18 60 38 16 49
108 71 73 6 22 93 98 67 48 79 96
24 32 95 83 71 95 7 80 78 40 57
145 80 98 11 38 72 10 48 66 53 31
134 94 24 9 38 75 32 40 22 22 5
68 51 83 31 23 2 7 55 88 48 17
181 63 43 1 21 88 18 42 56 89 98
102 52 64 94 75 26 50 61 24 18 75
83 50 10 94 15 81 4 28 98 21 88
115 45 98 55 81 44 14 13 68 87 47
189 93 63 69 10 84 49 54 48 96 77
221 0 2 26 93 3 41 64 8 15 68
209 9 31 4 40 91 45 85 16 2 99
172 12 49 45 96 85 25 10 12 94 9
3 36 74 75 85 51 57 80 75 22 82
117 9 68 50 30 54 77 28 11 55 92
207 69 87 67 86 79 45 30 20 70 76
169 4 15 38 89 41 31 3 30 49 62
38 67 63 39 63 48 68 6 2 15 89
8 77 39 86 91 31 71 86 40 90 44
68 5 63 57 11 52 74 39 3 39 27
152 49 40 82 15 95 85 38 90 73 18
223 38 62 29 60 28 4 28 88 84 36
74 0 20 39 62 54 44 83 12 44 7
204 2 47 24 6 28 40 73 20 37 24
150 23 43 98 88 45 39 93 3 88 65
122 11 77 81 42 14 32 36 13 89 95
31 44 91 51 98 1 29 45 67 11 23
